State,Parliamentary Constituency,Parliamentary ConstituencyName,Parliamentary ConstituencyType,WinnerCandidate,WinnerParty,Winner%,WinnerVotes,Runner UpCandidate,Runner UpParty,Runner Up%,Runner UpVotes,Margin_%,Margin_Votes
Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,50.60%,102436,Kuldeep Rai Sharma,INC,38.50%,78040,12.10%,24396
Andhra Pradesh[27],1,Araku,(ST),Gumma Thanuja Rani,YSRCP,40.96%,477005,Kothapalli Geetha,BJP,36.62%,426425,4.34%,50580
Andhra Pradesh[27],2,Srikakulam,GEN,Kinjarapu Ram Mohan Naidu,TDP,61.05%,754328,Perada Tilak,YSRCP,34.51%,426427,26.54%,327901
Andhra Pradesh[27],3,Vizianagaram,GEN,Appalanaidu Kalisetti,TDP,57.20%,743113,Bellana Chandra Sekhar,YSRCP,38.00%,493762,19.19%,249351
Andhra Pradesh[27],4,Visakhapatnam,GEN,Mathukumilli Bharat,TDP,65.42%,907467,Botsa Jhansi Lakshmi,YSRCP,29.07%,403220,36.35%,504247
Andhra Pradesh[27],5,Anakapalli,GEN,C. M. Ramesh,BJP,57.50%,762069,Budi Mutyala Naidu,YSRCP,35.13%,465539,22.37%,296530
Andhra Pradesh[27],6,Kakinada,GEN,Tangella Uday Srinivas,JSP,54.87%,729699,Chalamalasetti Sunil,YSRCP,37.62%,500208,17.26%,229491
Andhra Pradesh[27],7,Amalapuram,(SC),Ganti Harish Madhur,TDP,61.25%,796981,Rapaka Vara Prasada Rao,YSRCP,34.95%,454785,26.30%,342196
Andhra Pradesh[27],8,Rajahmundry,GEN,Daggubati Purandeswari,BJP,54.82%,726515,Guduri Srinivas,YSRCP,36.77%,487376,18,239139
Andhra Pradesh[27],9,Narasapuram,GEN,Bhupathi Raju Srinivasa Varma,BJP,57.46%,707343,Guduri Umabala,YSRCP,34.98%,430541,22.48%,276802
Andhra Pradesh[27],10,Eluru,GEN,Putta Mahesh Yadav,TDP,54%,746351,Karumuri Sunilkumar Yadav,YSRCP,40.84%,564494,13.16%,181857
Andhra Pradesh[27],11,Machilipatnam,GEN,Vallabhaneni Balashowry,JSP,55.22%,724439,Simhadri Chandrasekhar Rao,YSRCP,38.21%,501260,17.01%,223179
Andhra Pradesh[27],12,Vijayawada,GEN,Kesineni Sivanath,TDP,58.21%,794154,Kesineni Srinivas,YSRCP,37.53%,512069,20.68%,282085
Andhra Pradesh[27],13,Guntur,GEN,Chandra Sekhar Pemmasani,TDP,60.68%,864948,Kilari Venkata Rosaiah,YSRCP,36.50%,520253,24.18%,344695
Andhra Pradesh[27],14,Narasaraopet,GEN,Lavu Sri Krishna Devarayalu,TDP,53.88%,807996,Poluboina Anilkumar Yadav,YSRCP,43.23%,648267,10.65%,159729
Andhra Pradesh[27],15,Bapatla,(SC),Krishna Prasad Tenneti,TDP,55.16%,717493,Nandigam Suresh,YSRCP,39.17%,509462,15.99%,208031
Andhra Pradesh[27],16,Ongole,GEN,Magunta Sreenivasulu Reddy,TDP,49.35%,701894,Chevireddy Bhaskar Reddy,YSRCP,45.82%,651695,3.53%,50199
Andhra Pradesh[27],17,Nandyal,GEN,Byreddy Shabari,TDP,49.92%,701131,Pocha Brahmananda Reddy,YSRCP,41.95%,589156,7.97%,111975
Andhra Pradesh[27],18,Kurnool,GEN,Bastipati Nagaraju Panchalingala,TDP,49.51%,658914,B. Y. Ramaiah,YSRCP,41.15%,547616,8.39%,111298
Andhra Pradesh[27],19,Anantapur,GEN,Ambica G Lakshminarayana Valmiki,TDP,53.33%,768245,Malagundla Sankaranarayana,YSRCP,40.24%,579690,13.09%,188555
Andhra Pradesh[27],20,Hindupur,GEN,B. K. Parthasarathi,TDP,51.23%,725534,J. Shantha,YSRCP,41.88%,593107,9,132427
Andhra Pradesh[27],21,Kadapa,GEN,Y. S. Avinash Reddy,YSRCP,45.78%,605143,Chadipiralla Bhupesh Reddy,TDP,41.03%,542448,4.75%,62995
Andhra Pradesh[27],22,Nellore,GEN,Vemireddy Prabhakar Reddy,TDP,55.70%,766202,V. Vijaysai Reddy,YSRCP,37.82%,520300,17.88%,245902
Andhra Pradesh[27],23,Tirupati,(SC),Maddila Gurumoorthy,YSRCP,46,632228,Velagapalli Varaprasad Rao,BJP,44.67%,617659,1.06%,14569
Andhra Pradesh[27],24,Rajampet,GEN,P. V. Midhun Reddy,YSRCP,48.38%,644844,Kiran Kumar Reddy,BJP,42.67%,568773,5.71%,76071
Andhra Pradesh[27],25,Chittoor,(SC),Daggumalla Prasada Rao,TDP,54.84%,778071,N. Reddeppa,YSRCP,39.30%,557592,15.54%,220479
Arunachal Pradesh,1,Arunachal West,(ST),Kiren Rijiju,BJP,51.40%,205417,Nabam Tuki,INC,26.20%,104679,25.20%,100738
Arunachal Pradesh,2,Arunachal East,(ST),Tapir Gao,BJP,45.00%,145581,Bosiram Siram,INC,35.60%,115160,9.40%,30421
Assam,1,Kokrajhar,(ST),Joyanta Basumatary,UPPL,39.40%,488995,Kampa Borgoyari,BPF,35.20%,437412,4.20%,51583
Assam,2,Dhubri,GEN,Rakibul Hussain,INC,60.00%,1471885,Mohammed Badruddin Ajmal,AIUDF,18.70%,459409,41.30%,1012476
Assam,3,Barpeta,GEN,Phani Bhusan Choudhury,AGP,51.00%,860113,Deep Bayan,INC,37.80%,637762,13.20%,222351
Assam,4,Darrang–Udalguri,GEN,Dilip Saikia,BJP,47.90%,868387,Madhab Rajbangshi,INC,29.80%,539375,18.10%,329012
Assam,5,Guwahati,GEN,Bijuli Kalita Medhi,BJP,56.00%,894887,Mira Borthakur Goswami,INC,40.30%,643797,15.70%,251090
Assam,6,Diphu,(ST),Amarsing Tisso,BJP,49%,334620,J.I. Kathar,IND,27%,187017,22%,147603
Assam,7,Karimganj,GEN,Kripanath Mallah,BJP,47.50%,545093,Hafiz Rashid Ahmed Choudhury,INC,45.90%,526733,1.60%,18360
Assam,8,Silchar,(SC),Parimal Suklabaidya,BJP,59.90%,652405,Surya Kanta Sarkar,INC,35.60%,388094,24.30%,264311
Assam,9,Nagaon,GEN,Pradyut Bordoloi,INC,50.90%,788850,Suresh Borah,BJP,37.20%,576619,13.70%,212231
Assam,10,Kaziranga,GEN,Kamakhya Prasad Tasa,BJP,55.00%,897043,Roselina Tirkey,INC,39.80%,648096,15.20%,248947
Assam,11,Sonitpur,GEN,Ranjit Dutta,BJP,60.20%,775788,Premlal Ganju,INC,32.20%,414380,28.00%,361408
Assam,12,Lakhimpur,GEN,Pradan Baruah,BJP,54.70%,663122,Uday Shankar Hazarika,INC,38.10%,461865,16.60%,201257
Assam,13,Dibrugarh,GEN,Sarbananda Sonowal,BJP,54.30%,693762,Lurinjyoti Gogoi,AJP,32.40%,414441,21.90%,279321
Assam,14,Jorhat,GEN,Gaurav Gogoi,INC,54.00%,751771,Topon Kumar Gogoi,BJP,43.70%,607378,10.30%,144393
Bihar[28],1,Valmiki Nagar,GEN,Sunil Kumar,JD(U),47.50%,523422,Deepak Yadav,RJD,38.50%,424747,9%,98675
Bihar[28],2,Paschim Champaran,GEN,Sanjay Jaiswal,BJP,53.43%,580421,Madan Mohan Tiwari,INC,40.86%,443853,12.57%,136568
Bihar[28],3,Purvi Champaran,GEN,Radha Mohan Singh,BJP,50.50%,542193,Dr. Rajesh Kumar,VIP,42.28%,453906,8.22%,88287
Bihar[28],4,Sheohar,GEN,Lovely Anand,JD(U),45.15%,476612,Ritu Jaiswal,RJD,42.39%,447469,2.76%,29143
Bihar[28],5,Sitamarhi,GEN,Devesh Chandra Thakur,JD(U),47.14%,515719,Arjun Ray,RJD,42.45%,464363,4.69%,51356
Bihar[28],6,Madhubani,GEN,Ashok Kumar Yadav,BJP,53.85%,553428,Mohammad Ali Ashraf Fatmi,RJD,39.07%,401483,14.78%,151945
Bihar[28],7,Jhanjharpur,GEN,Ramprit Mandal,JD(U),48.73%,533032,Suman Kumar Mahaseth,VIP,31.90%,348863,16.83%,184169
Bihar[28],8,Supaul,GEN,Dileshwar Kamait,JD(U),48.33%,595038,Chandrahas Chaupal,RJD,34.54%,425235,13.79%,169803
Bihar[28],9,Araria,GEN,Pradeep Kumar Singh,BJP,47.91%,600146,Mohammed Shahnawaz Alam,RJD,46.31%,580052,1.60%,20094
Bihar[28],10,Kishanganj,GEN,Mohammad Jawed,INC,35%,402850,Mujahid Alam,JD(U),29.81%,343158,5.19%,59692
Bihar[28],11,Katihar,GEN,Tariq Anwar,INC,48.41%,567092,Dulal Chandra Goswami,JD(U),44.15%,517229,4.26%,49863
Bihar[28],12,Purnia,GEN,Pappu Yadav,Independent,47.46%,567556,Santosh Kumar,JD(U),45.47%,543709,1.99%,23847
Bihar[28],13,Madhepura,GEN,Dinesh Chandra Yadav,JD(U),52.96%,640649,Da Kumar Chandradeep,RJD,38.53%,466115,14.43%,174534
Bihar[28],14,Darbhanga,GEN,Gopal Jee Thakur,BJP,55.33%,566630,Lalit Kumar Yadav,RJD,37.93%,388474,17.40%,178156
Bihar[28],15,Muzaffarpur,GEN,Raj Bhushan Choudhary,BJP,55.71%,619749,Ajay Nishad,INC,34.59%,384822,21.12%,234927
Bihar[28],16,Vaishali,GEN,Veena Devi,LJP(RV),48.38%,567043,Vijay Kumar Shukla,RJD,40.73%,477409,7.65%,89634
Bihar[28],17,Gopalganj,(SC),Alok Kumar Suman,JD(U),48.15%,511866,Prem Nath Chanchal Alias Chanchal Paswan,VIP,36.19%,384686,11.19%,127180
Bihar[28],18,Siwan,GEN,Vijay Lakshmi Devi,JD(U),38.73%,386508,Hena Shahab,Independent,29.42%,293651,9.31%,92857
Bihar[28],19,Maharajganj,GEN,Janardan Singh Sigriwal,BJP,52.22%,529533,Aakash Kumar Singh,INC,42.09%,426882,10.13%,102651
Bihar[28],20,Saran,GEN,Rajiv Pratap Rudy,BJP,46.18%,471752,Rohini Acharya,RJD,44.84%,458091,1.34%,13661
Bihar[28],21,Hajipur,(SC),Chirag Paswan,LJP(RV),53.29%,615718,Shiv Chandra Ram,RJD,38.57%,445613,14.72%,170105
Bihar[28],22,Ujiarpur,GEN,Nityanand Rai,BJP,49.51%,515965,Alok Kumar Mehta,RJD,43.75%,455863,5.76%,60102
Bihar[28],23,Samastipur,(SC),Shambhavi,LJP(RV),52.97%,579786,Sunny Hazari,INC,35.86%,392535,17.11%,187251
Bihar[28],24,Begusarai,GEN,Giriraj Singh,BJP,50.15%,649331,Abdhesh Kumar Roy,CPI(M),43.86%,567851,6.29%,81480
Bihar[28],25,Khagaria,GEN,Rajesh Verma,LJP(RV),50.73%,538657,Sanjay Kumar,CPI(M),35.55%,377526,15.18%,161131
Bihar[28],26,Bhagalpur,GEN,Ajay Kumar Mandal,JD(U),50.38%,536031,Ajeet Sharma,INC,40.52%,431163,9.86%,104868
Bihar[28],27,Banka,GEN,Giridhari Yadav,JD(U),49.96%,506678,Jai Prakash Narayan Yadav,RJD,39.72%,402834,10.24%,103834
Bihar[28],28,Munger,GEN,Rajeev Ranjan Singh Alias Lalan Singh,JD(U),48.30%,550146,Kumari Anita,RJD,41.20%,469276,7.10%,80870
Bihar[28],29,Nalanda,GEN,Kaushalendra Kumar,JD(U),48.88%,559422,Sandeep Saurav,CPI(ML)L,34.11%,390308,14.77%,169114
Bihar[28],30,Patna Sahib,GEN,Ravi Shankar Prasad,BJP,54.70%,588270,Anshul Avijit,INC,40.39%,434424,14.31%,153846
Bihar[28],31,Pataliputra,GEN,Misha Bharti,RJD,49.86%,613283,Ram Kripal Yadav,BJP,42.93%,528109,6.93%,85174
Bihar[28],32,Arrah,GEN,Sudama Prasad,CPI(ML)L,48.28%,529382,R. K. Singh,BJP,42.82%,469574,5.46%,59808
Bihar[28],33,Buxar,GEN,Sudhakar Singh,RJD,40.82%,438345,Mithlesh Tiwari,BJP,38.02%,408254,2.80%,30091
Bihar[28],34,Sasaram,(SC),Manoj Kumar,INC,46.76%,513004,Shivesh Kumar,BJP,45.01%,493847,1.75%,19157
Bihar[28],35,Karakat,GEN,Raja Ram Singh Kushwaha,CPI(ML)L,36.89%,380581,Pawan Singh,Independent,26.63%,274723,10.26%,105858
Bihar[28],36,Jahanabad,GEN,Surendra Prasad Yadav,RJD,47.88%,443035,Chandeshwar Prasad,JD(U),32.47%,300444,15.41%,142591
Bihar[28],37,Aurangabad,GEN,Abhay Kumar Sinha,RJD,49.22%,465567,Sushil Kumar Singh,BJP,40.86%,386456,8.36%,79111
Bihar[28],38,Gaya,(SC),Jitan Ram Manjhi,HAM(S),51.36%,494960,Kumar Sarvjeet,RJD,40.80%,393148,10.56%,101812
Bihar[28],39,Nawada,GEN,Vivek Thakur,BJP,47.20%,410608,Shrawan Kumar,RJD,39.42%,342938,7.78%,67670
Bihar[28],40,Jamui,(SC),Arun Bharti,LJP(RV),51.98%,509046,Archana Kumari,RJD,40.50%,396564,11.48%,112482
Chandigarh,1,Chandigarh,GEN,Manish Tewari,INC,48.23%,216657,Sanjay Tandon,BJP,47.66%,214153,0.57%,2504
Chhattisgarh,1,Sarguja,(ST),Chintamani Maharaj,BJP,49.01%,713200,Shashi Singh,INC,44.55%,648328,4.46%,64822
Chhattisgarh,2,Raigarh,(ST),Radheshyam Rathiya,BJP,55.63%,808275,Menka Devi Singh,INC,39.08%,567884,16.55%,240391
Chhattisgarh,3,Janjgir-Champa,(SC),Kamlesh Jangre,BJP,48.71%,678199,Shivkumar Dahariya,INC,44.40%,618199,4.31%,60000
Chhattisgarh,4,Korba,GEN,Jyotsna Mahant,INC,46.53%,570182,Saroj Pandey,BJP,43.00%,526899,3.53%,43283
Chhattisgarh,5,Bilaspur,GEN,Tokhan Sahu,BJP,53.25%,724937,Devender Singh Yadav,INC,41.16%,560379,12.09%,164558
Chhattisgarh,6,Rajnandgaon,GEN,Santosh Pandey,BJP,49.25%,712057,Bhupesh Baghel,INC,46.18%,667646,3.07%,44411
Chhattisgarh,7,Durg,GEN,Vijay Baghel,BJP,62.00%,956497,Rajendra Sahu,INC,33.59%,518271,28.41%,438226
Chhattisgarh,8,Raipur,GEN,Brijmohan Agrawal,BJP,66.19%,1050351,Vikas Upadhyay,INC,29.94%,475066,36.25%,575285
Chhattisgarh,9,Mahasamund,GEN,Roop Kumari Choudhary,BJP,53.06%,703659,Tamradhwaj Sahu,INC,42.09%,558203,10.97%,145456
Chhattisgarh,10,Bastar,(ST),Mahesh Kashyap,BJP,45.50%,458398,Kawasi Lakhma,INC,40.02%,403153,5.48%,55245
Chhattisgarh,11,Kanker,(ST),Bhojraj Nag,BJP,47.23%,597624,Biresh Thakur,INC,47.08%,595740,0.15%,1884
Dadra and Nagar Haveli and Daman and Diu,1,Daman And Diu,GEN,Patel Umeshbhai Babubhai,Independent,46.02%,42523,Lalubhai Babubhai Patel,BJP,39.28%,36298,6.74%,6225
Dadra and Nagar Haveli and Daman and Diu,2,Dadra And Nagar Haveli,(ST),Delkar Kalaben Mohanbhai,BJP,58.89%,121074,Ajit Ramjibhai Mahala,INC,30.88%,63490,28.01%,57584
Delhi[29],1,Chandni Chowk,GEN,Praveen Khandelwal,BJP,53.46%,516496,Jai Prakash Agarwal,INC,44.22%,427171,9.24%,89325
Delhi[29],2,North East Delhi,GEN,Manoj Tiwari,BJP,53.10%,824451,Kanhaiya Kumar,INC,44.16%,685673,8.94%,138778
Delhi[29],3,East Delhi,GEN,Harsh Malhotra,BJP,52.59%,664819,Kuldeep Kumar (Monu),AAP,45.18%,571156,7.41%,93663
Delhi[29],4,New Delhi,GEN,Bansuri Swaraj,BJP,53.48%,453185,Somnath Bharti,AAP,44.23%,374815,9.25%,78370
Delhi[29],5,North West Delhi,(SC),Yogender Chandoliya,BJP,58.26%,866483,Udit Raj,INC,38.71%,575634,19.71%,290849
Delhi[29],6,West Delhi,GEN,Kamaljeet Sehrawat,BJP,55.27%,842658,Mahabal Mishra,AAP,42.22%,643645,13.05%,199013
Delhi[29],7,South Delhi,GEN,Ramvir Singh Bidhuri,BJP,53.46%,692832,Sahi Ram,AAP,43.87%,568499,9.59%,124333
Goa[30],1,North Goa,GEN,Shripad Yesso Naik,BJP,56.43%,257326,Ramakant Khalap,INC,30.99%,141311,25.44%,116015
Goa[30],2,South Goa,GEN,Captain Viriato Fernandes,INC,48.35%,217836,Pallavi Shrinivas Dempo,BJP,45.35%,204301,3%,13535
Gujarat[31],1,Kachchh,(SC),Vinodbhai Chavda,BJP,60.23%,659574,Nitishbhai Lalan,INC,35.68%,390792,25,268782
Gujarat[31],2,Banaskantha,GEN,Geniben Thakor,INC,48.83%,671883,Rekhaben Hiteshbhai Chaudhary,BJP,46.62%,641477,2.20%,30406
Gujarat[31],3,Patan,GEN,Bharatsinhji Dabhi,BJP,49.61%,591947,Chandanji Thakor,INC,46.94%,560071,2.67%,31876
Gujarat[31],4,Mahesana,GEN,Haribhai Patel,BJP,63.74%,686406,Ramji Thakor (Palvi),INC,33.28%,358360,30.46%,328046
Gujarat[31],5,Sabarkantha,GEN,Shobhnaben Mahendrasinh Baraiya,BJP,53.36%,677318,Tushar Chaudhary,INC,40.85%,521636,12.19%,155682
Gujarat[31],6,Gandhinagar,GEN,Amit Shah,BJP,76.48%,1010972,Sonal Patel,INC,20.13%,266256,56.34%,744716
Gujarat[31],7,Ahmedabad East,GEN,Hasmukh Patel,BJP,68.28%,770459,Himmatsinh Patel,INC,27.36%,308704,40.92%,461755
Gujarat[31],8,Ahmedabad West,(SC),Dineshbhai Kodarbhai Makwana,BJP,63.28%,611704,Bharat Makwana,INC,33.65%,325267,29.63%,286437
Gujarat[31],9,Surendranagar,GEN,Chandubhai Chhaganbhai Shihora,BJP,59.20%,669749,Rutvik Makwana,INC,36.07%,408132,23.12%,261617
Gujarat[31],10,Rajkot,GEN,Parshottam Rupala,BJP,67.37%,857984,Paresh Dhanani,INC,29.35%,373724,38.02%,484260
Gujarat[31],11,Porbandar,GEN,Mansukh Mandaviya,BJP,68.15%,633118,Lalitbhai Vasoya,INC,26.88%,249758,41.27%,383360
Gujarat[31],12,Jamnagar,GEN,Poonamben Maadam,BJP,58.98%,620049,J.P Marvia,INC,36.34%,382041,22.64%,238008
Gujarat[31],13,Junagadh,GEN,Rajesh Chudasama,BJP,54.67%,584049,Hirabhai Jotva,INC,41.99%,448555,12.68%,135494
Gujarat[31],14,Amreli,GEN,Bharatbhai Manubhai Sutariya,BJP,66.28%,580872,Jennyben Thummar,INC,29.64%,259804,36.63%,321068
Gujarat[31],15,Bhavnagar,GEN,Nimuben Jayantibhai Bambhania,BJP,68.46%,716883,Umesh Makwana,AAP,24.98%,261594,43.48%,455289
Gujarat[31],16,Anand,GEN,Mitesh Rameshbhai Patel,BJP,52.44%,612484,Amitbhai Chavda,INC,44.74%,522545,7.70%,89939
Gujarat[31],17,Kheda,GEN,Devusinh Jesingbhai Chauhan,BJP,63.31%,744435,Kalusinh Dabhi,INC,32.88%,386677,30.42%,357758
Gujarat[31],18,Panchmahal,GEN,Rajpalsinh Mahendrasinh Jadhav,BJP,70.22%,794579,Gulabsinh Chaudhan,INC,25.21%,285237,45.01%,509342
Gujarat[31],19,Dahod,(ST),Jasvantsinh Sumanbhai Bhabhor,BJP,61.59%,688715,Prabhaben Taviyad,INC,31.75%,355038,29.84%,333677
Gujarat[31],20,Vadodara,GEN,Hemang Yogeshchandra Joshi,BJP,72.04%,873189,Jashpalsinh Padhiyar,INC,24.01%,291063,48.02%,582126
Gujarat[31],21,Chhota Udaipur,(ST),Jashubhai Bhilubhai Rathva,BJP,62.84%,796589,Sukhrambhai Rathwa,INC,31.38%,397812,31.46%,398777
Gujarat[31],22,Bharuch,GEN,Mansukhbhai Vasava,BJP,50.72%,608157,Chaitar Vasava,AAP,43.58%,522461,7.15%,85696
Gujarat[31],23,Bardoli,(ST),Parbhubhai Vasava,BJP,57.04%,763950,Siddharth Chaudhary,INC,39.85%,533697,17.19%,230253
Gujarat[31],24,Surat,GEN,Mukesh Dalal,BJP,,,,,,,,
Gujarat[31],25,Navsari,GEN,C. R. Patil,BJP,77.05%,1031065,Naishadh Desai,INC,19.24%,257514,57.80%,773551
Gujarat[31],26,Valsad,(ST),Dhaval Laxmanbhai Patel,BJP,56.13%,764226,Anantbhai Patel,INC,40.66%,553522,15.48%,210704
Haryana[32],1,Ambala,(SC),Varun Chaudhary,INC,49.28%,663657,Banto Kataria,BJP,45.64%,614621,3.64%,49036
Haryana[32],2,Kurukshetra,GEN,Naveen Jindal,BJP,44.96%,542175,Dr. Sushil Gupta,AAP,42.55%,513154,2.41%,29021
Haryana[32],3,Sirsa,(SC),Selja Kumari,INC,54.17%,733823,Ashok Tanwar,BJP,34.35%,465326,19.82%,268497
Haryana[32],4,Hisar,GEN,Jai Parkash,INC,48.58%,570424,Ranjit Singh Chautala,BJP,43.19%,507043,5.39%,63381
