State,Parliamentary Constituency,Parliamentary ConstituencyName,Parliamentary ConstituencyType,WinnerCandidate,WinnerParty,Winner%,WinnerVotes,Runner UpCandidate,Runner UpParty,Runner Up%,Runner UpVotes,Margin_%,Margin_Votes
Telangana[52],9,Hyderabad,GEN,Asaduddin Owaisi,AIMIM,61.28%,661981,Kompella Madhavi Latha,BJP,29.98%,323894,31.30%,338087
Telangana[52],10,Chevella,GEN,Konda Vishweshwar Reddy,BJP,48.34%,809882,G. Ranjith Reddy,INC,38.02%,636985,10.32%,172897
Telangana[52],11,Mahbubnagar,GEN,D. K. Aruna,BJP,41.66%,510747,Challa Vamshi Chand Reddy,INC,41.29%,506247,0.37%,4500
Telangana[52],12,Nagarkurnool,(SC),Mallu Ravi,INC,38.14%,465072,Bharath Prasad Pothuganti,BJP,30.40%,370658,7.74%,94414
Telangana[52],13,Nalgonda,GEN,Kunduru Raghuveer,INC,60.50%,784337,Shanampudi Saidireddy,BJP,17.31%,224432,43.19%,559905
Telangana[52],14,Bhongir,GEN,Chamala Kiran Kumar Reddy,INC,44.89%,629143,Boora Narsaiah Goud,BJP,29.04%,406973,15.85%,222170
Telangana[52],15,Warangal,(SC),Kadiyam Kavya,INC,45.85%,581294,Aroori Ramesh,BJP,28.47%,360955,17.38%,220339
Telangana[52],16,Mahabubabad,(ST),Balram Naik Porika,INC,55.27%,612774,Kavitha Maloth,BRS,23.77%,263609,31.50%,349165
Telangana[52],17,Khammam,GEN,Ramasahayam Raghuram Reddy,INC,61.29%,766929,Nama Nageswara Rao,BRS,23.90%,299082,37.39%,467847
Tripura[53],1,Tripura West,GEN,Biplab Kumar Deb,BJP,72.85%,881341,Ashish Kumar Saha,INC,22.30%,269763,50.55%,611578
Tripura[53],2,Tripura East,(ST),Kriti Devi Debbarman,BJP,68.54%,777447,Rajendra Reang,CPI(M),25.62%,290628,42.92%,486819
Uttar Pradesh[54],1,Saharanpur,GEN,Imran Masood,INC,44.57%,547967,Raghav Lakhanpal,BJP,39.32%,483425,5.25%,64542
Uttar Pradesh[54],2,Kairana,GEN,Iqra Choudhary,SP,48.90%,528013,Pradeep Choudhary,BJP,42.50%,458897,6.40%,69116
Uttar Pradesh[54],3,Muzaffarnagar,GEN,Harendra Singh Malik,SP,43.64%,470721,Sanjeev Kumar Balyan,BJP,41.35%,446049,2.29%,24672
Uttar Pradesh[54],4,Bijnor,GEN,Chandan Chauhan,RLD,39.48%,404493,Deepak,SP,35.82%,366985,3.66%,37508
Uttar Pradesh[54],5,Nagina,(SC),Chandrashekhar,ASP(KR),51.19%,512552,Om Kumar,BJP,36.06%,361079,15.13%,151473
Uttar Pradesh[54],6,Moradabad,GEN,Ruchi Vira,SP,49.67%,637363,Kunwar Sarvesh Kumar Singh,BJP,41.43%,531601,8.24%,105762
Uttar Pradesh[54],7,Rampur,GEN,Mohibbullah,SP,49.74%,481503,Ghanshyam Singh Lodhi,BJP,40.71%,394069,9.03%,87434
Uttar Pradesh[54],8,Sambhal,GEN,Zia ur Rahman Barq,SP,47.80%,571161,Parmeshwar Lal Saini,BJP,37.63%,449667,10.17%,121494
Uttar Pradesh[54],9,Amroha,GEN,Kanwar Singh Tanwar,BJP,42.90%,476506,Kunwar Danish Ali,INC,40.32%,447836,2.58%,28670
Uttar Pradesh[54],10,Meerut,GEN,Arun Govil,BJP,46.21%,546469,Sunita Verma,SP,45.32%,535884,0.89%,10585
Uttar Pradesh[54],11,Baghpat,GEN,Rajkumar Sangwan,RLD,52.36%,488967,Amarpal Sharma,SP,35.29%,329508,17.07%,159459
Uttar Pradesh[54],12,Ghaziabad,GEN,Atul Garg,BJP,58.09%,854170,Dolly Sharma,INC,35.17%,517205,22.92%,336965
Uttar Pradesh[54],13,Gautam Buddh Nagar,GEN,Mahesh Sharma,BJP,59.69%,857829,Mahendra Singh Nagar,SP,20.76%,298357,38.93%,559472
Uttar Pradesh[54],14,Bulandshahr,(SC),Bhola Singh,BJP,56.65%,597310,Shivram,INC,30.56%,322176,26.09%,275134
Uttar Pradesh[54],15,Aligarh,GEN,Satish Kumar Gautam,BJP,44.28%,501834,Bijendra Singh,SP,42.90%,486187,1.38%,15647
Uttar Pradesh[54],16,Hathras,(SC),Anoop Pradhan,BJP,51.24%,554746,Jasveer Valmiki,SP,28.39%,307428,22.85%,247318
Uttar Pradesh[54],17,Mathura,GEN,Hema Malini,BJP,53.30%,510064,Mukesh Dhangar,INC,22.64%,216657,30.66%,293407
Uttar Pradesh[54],18,Agra,(SC),S. P. Singh Baghel,BJP,53.34%,599397,Suresh Chand Kardam,SP,29.20%,328103,24.14%,271294
Uttar Pradesh[54],19,Fatehpur Sikri,GEN,Rajkumar Chahar,BJP,43.09%,445657,Ramnath Singh Sikarwar,INC,38.90%,402252,4.19%,43405
Uttar Pradesh[54],20,Firozabad,GEN,Akshay Yadav,SP,49.04%,543037,Vishwadeep Singh,BJP,40.98%,453725,8.06%,89312
Uttar Pradesh[54],21,Mainpuri,GEN,Dimple Yadav,SP,56.79%,598526,Jaiveer Singh,BJP,35.76%,376887,21.03%,221639
Uttar Pradesh[54],22,Etah,GEN,Devesh Shakya,SP,47.09%,475808,Rajveer Singh,BJP,44.32%,447756,2.77%,28052
Uttar Pradesh[54],23,Badaun,GEN,Aditya Yadav,SP,45.97%,501855,Durvijay Singh Shakya,BJP,42.76%,466864,3.21%,34991
Uttar Pradesh[54],24,Aonla,GEN,Neeraj Maurya,SP,45.23%,492515,Dharmendra Kashyap,BJP,43.76%,476546,1.47%,15969
Uttar Pradesh[54],25,Bareilly,GEN,Chhatrapal Singh Gangwar,BJP,50.66%,567127,Praveen Singh Aron,SP,47.55%,532323,3.11%,34804
Uttar Pradesh[54],26,Pilibhit,GEN,Jitin Prasad,BJP,52.30%,607158,Bhagwat Saran Gangwar,SP,38.09%,442223,14.21%,164935
Uttar Pradesh[54],27,Shahjahanpur,(SC),Arun Kumar Sagar,BJP,47.50%,592718,Jyotsna Gond,SP,43.06%,537339,4.44%,55379
Uttar Pradesh[54],28,Kheri,GEN,Utkarsh Verma,SP,45.94%,557365,Ajay Mishra Teni,BJP,43.11%,523036,2.83%,34329
Uttar Pradesh[54],29,Dhaurahra,GEN,Anand Bhadauriya,SP,39.91%,443743,Rekha Verma,BJP,39.51%,439294,0.40%,4449
Uttar Pradesh[54],30,Sitapur,GEN,Rakesh Rathore,INC,48.20%,531138,Rajesh Verma (politician),BJP,40.06%,441497,8.14%,89641
Uttar Pradesh[54],31,Hardoi,(SC),Jai Prakash,BJP,44.25%,486798,Usha Verma,SP,41.72%,458942,2.53%,27856
Uttar Pradesh[54],32,Misrikh,(SC),Ashok Kumar Rawat,BJP,45.15%,475016,Sangita Rajvanshi,SP,41.98%,441610,3.17%,33406
Uttar Pradesh[54],33,Unnao,GEN,Sakshi Maharaj,BJP,47.31%,616133,Annu Tandon,SP,44.56%,580315,2.75%,35818
Uttar Pradesh[54],34,Mohanlalganj,(SC),R. K. Chaudhary,SP,48.49%,667869,Kaushal Kishore,BJP,43.38%,597577,5.11%,70292
Uttar Pradesh[54],35,Lucknow,GEN,Rajnath Singh,BJP,53.89%,612709,Ravidas Mehrotra,SP,42%,477550,11.89%,135159
Uttar Pradesh[54],36,Rae Bareli,GEN,Rahul Gandhi,INC,66.17%,687649,Dinesh Pratap Singh,BJP,28.64%,297619,37.53%,390030
Uttar Pradesh[54],37,Amethi,GEN,Kishori Lal Sharma,INC,54.99%,539228,Smriti Irani,BJP,37.94%,372032,17.05%,167196
Uttar Pradesh[54],38,Sultanpur,GEN,Rambhual Nishad,SP,43%,444330,Maneka Gandhi,BJP,38.82%,401156,4.18%,43174
Uttar Pradesh[54],39,Pratapgarh,GEN,Shiv Pal Singh Patel,SP,46.65%,441932,Sangam Lal Gupta,BJP,39.66%,375726,6.99%,66206
Uttar Pradesh[54],40,Farrukhabad,GEN,Mukesh Rajput,BJP,47.20%,487963,Naval Kishore Shakya,SP,46.94%,485285,0.26%,2678
Uttar Pradesh[54],41,Etawah,(SC),Jitendra Kumar Dohare,SP,47.47%,490747,Ram Shankar Katheria,BJP,41.82%,432328,5.65%,58419
Uttar Pradesh[54],42,Kannauj,GEN,Akhilesh Yadav,SP,52.74%,642292,Subrat Pathak,BJP,38.71%,471370,14.03%,170922
Uttar Pradesh[54],43,Kanpur Urban,GEN,Ramesh Awasthi,BJP,49.93%,443055,Alok Mishra,INC,47.56%,422087,2.37%,20968
Uttar Pradesh[54],44,Akbarpur,GEN,Devendra Singh,BJP,47.60%,517423,Raja Ram Pal,SP,43.52%,473078,4.08%,44345
Uttar Pradesh[54],45,Jalaun,(SC),Narayan Das Ahirwar,SP,46.96%,530180,Bhanu Pratap Singh Verma,BJP,42.19%,476282,4.77%,53898
Uttar Pradesh[54],46,Jhansi,GEN,Anurag Sharma,BJP,50%,690316,Pradeep Jain Aditya,INC,42.57%,587702,7.43%,102614
Uttar Pradesh[54],47,Hamirpur,GEN,Ajendra Singh Lodhi,SP,44%,490683,Kunwar Pushpendra Singh Chandel,BJP,43.76%,488054,0.24%,2629
Uttar Pradesh[54],48,Banda,GEN,Krishna Devi Shivshanker Patel,SP,38.94%,406567,R. K. Singh Patel,BJP,32.12%,335357,6.82%,71210
Uttar Pradesh[54],49,Fatehpur,GEN,Naresh Uttam Patel,SP,45.20%,500328,Niranjan Jyoti,BJP,42.20%,467129,3%,33199
Uttar Pradesh[54],50,Kaushambi,(SC),Pushpendra Saroj,SP,50.51%,509787,Vinod Kumar Sonkar,BJP,40.21%,405843,10.30%,103944
Uttar Pradesh[54],51,Phulpur,GEN,Praveen Patel,BJP,44.60%,452600,Amarnath Singh Maurya,SP,44.17%,448268,0.43%,4332
Uttar Pradesh[54],52,Allahabad,GEN,Ujjwal Raman Singh,INC,48.80%,462145,Neeraj Tripathi,BJP,42.59%,403350,6.21%,58795
Uttar Pradesh[54],53,Barabanki,(SC),Tanuj Punia,INC,55.78%,719927,Rajrani Rawat,BJP,39.07%,504223,16.71%,215704
Uttar Pradesh[54],54,Faizabad,GEN,Awadhesh Prasad,SP,48.59%,554289,Lallu Singh,BJP,43.81%,499722,4.78%,54567
Uttar Pradesh[54],55,Ambedkar Nagar,GEN,Lalji Verma,SP,46.30%,544959,Ritesh Pandey,BJP,34.64%,407712,11.66%,137247
Uttar Pradesh[54],56,Bahraich,(SC),Anand Kumar Gond,BJP,49.10%,518802,Ramesh Chandra,SP,43.02%,454575,6.08%,64227
Uttar Pradesh[54],57,Kaiserganj,GEN,Karan Bhushan Singh,BJP,53.79%,571263,Bhagat Ram,SP,39.77%,422420,14.02%,148843
Uttar Pradesh[54],58,Shrawasti,GEN,Ram Shiromani Verma,SP,48.83%,511055,Saket Misra,BJP,41.51%,434382,7.32%,76673
Uttar Pradesh[54],59,Gonda,GEN,Kirti Vardhan Singh,BJP,49.77%,474258,Shreya Verma,SP,44.92%,428034,4.85%,46224
Uttar Pradesh[54],60,Domariyaganj,GEN,Jagdambika Pal,BJP,45.47%,463303,Bhishma Shankar Tiwari,SP,41.27%,420575,4.20%,42728
Uttar Pradesh[54],61,Basti,GEN,Ram Prasad Chaudhary,SP,48.67%,527005,Harish Dwivedi,BJP,39.34%,426011,9.33%,100994
Uttar Pradesh[54],62,Sant Kabir Nagar,GEN,Laxmikant,SP,45.70%,498695,Praveen Kumar Nishad,BJP,37.25%,406525,8.45%,92170
Uttar Pradesh[54],63,Maharajganj,GEN,Pankaj Chaudhary,BJP,48.85%,591310,Virendra Chaudhary,INC,45.92%,555859,2.93%,35451
Uttar Pradesh[54],64,Gorakhpur,GEN,Ravi Kishan,BJP,50.75%,585834,Kajal Nishad,SP,41.78%,482308,8.97%,103526
Uttar Pradesh[54],65,Kushi Nagar,GEN,Vijay Kumar Dubey,BJP,47.79%,516345,Ajay Pratap Singh,SP,40.22%,434555,7.57%,81790
Uttar Pradesh[54],66,Deoria,GEN,Shashank Mani,BJP,48.36%,504541,Akhilesh Pratap Singh,INC,45.02%,469699,3.34%,34842
Uttar Pradesh[54],67,Bansgaon,(SC),Kamlesh Paswan,BJP,45.38%,428693,Sadal Prasad,INC,45.04%,425543,0.34%,3150
Uttar Pradesh[54],68,Lalganj,(SC),Daroga Prasad Saroj,SP,43.85%,439959,Neelam Sonkar,BJP,32.38%,324936,11.47%,115023
Uttar Pradesh[54],69,Azamgarh,GEN,Dharmendra Yadav,SP,48.20%,508239,Dinesh Lal Yadav,BJP,32.93%,347204,15.27%,161035
Uttar Pradesh[54],70,Ghosi,GEN,Rajeev Rai,SP,43.73%,503131,Arvind Rajbhar,SBSP,29.57%,340188,14.16%,162943
Uttar Pradesh[54],71,Salempur,GEN,Ramashankar Rajbhar,SP,44.20%,405472,Ravindra Kushawaha,BJP,43.81%,401899,0.39%,3573
Uttar Pradesh[54],72,Ballia,GEN,Sanatan Pandey,SP,46.37%,467068,Neeraj Shekhar,BJP,42.06%,423684,4.31%,43384
Uttar Pradesh[54],73,Jaunpur,GEN,Babu Singh Kushwaha,SP,46.21%,509130,Kripashankar Singh,BJP,37.19%,409795,9.02%,99335
Uttar Pradesh[54],74,Machhlishahr,(SC),Priya Saroj,SP,42.57%,451292,B. P. Saroj,BJP,39.19%,415442,3.38%,35850
Uttar Pradesh[54],75,Ghazipur,GEN,Afzal Ansari,SP,46.82%,539912,Pars Nath Rai,BJP,35.99%,415051,10.83%,124861
Uttar Pradesh[54],76,Chandauli,GEN,Birendra Singh,SP,42.50%,474476,Mahendra Nath Pandey,BJP,40.57%,452911,1.93%,21565
Uttar Pradesh[54],77,Varanasi,GEN,Narendra Modi,BJP,54.24%,612970,Ajay Rai,INC,40.74%,460457,13.50%,152513
Uttar Pradesh[54],78,Bhadohi,GEN,Vinod Kumar Bind,BJP,42.39%,459982,Laliteshpati Tripathi,AITC,38.33%,415910,4.06%,44072
Uttar Pradesh[54],79,Mirzapur,GEN,Anupriya Patel,AD(S),42.67%,471631,Ramesh Chand Bind,SP,39.25%,433821,3.42%,37810
Uttar Pradesh[54],80,Robertsganj,(SC),Chhotelal,SP,46.14%,465848,Rinki Kol,AD(S),33.34%,336614,12.80%,129234
Uttarakhand[55],1,Tehri Garhwal,GEN,Mala Rajya Lakshmi Shah,BJP,53.66%,462603,Jot Singh Gunsola,INC,22.05%,190110,31.61%,272493
Uttarakhand[55],2,Garhwal,GEN,Anil Baluni,BJP,58.60%,432159,Ganesh Godiyal,INC,36.43%,268656,22.17%,163503
Uttarakhand[55],3,Almora,(SC),Ajay Tamta,BJP,64.20%,429167,Pradeep Tamta,INC,29.18%,195070,35.02%,234097
Uttarakhand[55],4,Nainital-Udhamsingh Nagar,GEN,Ajay Bhatt,BJP,61.03%,772671,Prakash Joshi,INC,34.61%,438123,26.42%,334548
Uttarakhand[55],5,Haridwar,GEN,Trivendra Singh Rawat,BJP,50.19%,653808,Virendra Rawat,INC,37.60%,489752,12.59%,164056
West Bengal[56],1,Cooch Behar,(SC),Jagadish Chandra Barma Basunia,AITC,48.57%,788375,Nisith Pramanik,BJP,46.16%,749125,2.41%,39250
West Bengal[56],2,Alipurduars,(SC),Manoj Tigga,BJP,48.92%,695314,Prakash Chik Baraik,AITC,43.61%,619867,5.31%,75447
West Bengal[56],3,Jalpaiguri,(SC),Jayanta Kumar Roy,BJP,48.57%,766568,Nirmal Chandra Roy,AITC,43.07%,679875,5.50%,86693
West Bengal[56],4,Darjeeling,GEN,Raju Bista,BJP,51.18%,679331,Gopal Lama,AITC,37.73%,500806,13.45%,178525
West Bengal[56],5,Raiganj,GEN,Kartick Chandra Paul,BJP,40.99%,560897,Krishna Kalyani,AITC,36%,492700,4.99%,68197
West Bengal[56],6,Balurghat,GEN,Sukanta Majumdar,BJP,46.47%,574996,Biplab Mitra,AITC,45.63%,564610,0.84%,10386
West Bengal[56],7,Maldaha Uttar,GEN,Khagen Murmu,BJP,37.18%,527023,Prasun Banerjee,AITC,31.70%,449315,5.48%,77708
West Bengal[56],8,Maldaha Dakshin,GEN,Isha Khan Choudhury,INC,41.79%,572395,Sreerupa Mitra Chaudhury,BJP,32.42%,444027,9.37%,128368
West Bengal[56],9,Jangipur,GEN,Khalilur Rahaman,AITC,39.75%,544427,Murtoja Hossain Bokul,INC,31.23%,427790,8.52%,116637
West Bengal[56],10,Baharampur,GEN,Yusuf Pathan,AITC,37.88%,524516,Adhir Ranjan Chowdhury,INC,31.74%,439494,6.14%,85022
West Bengal[56],11,Murshidabad,GEN,Abu Taher Khan,AITC,44.27%,682442,Mohammed Salim,CPI(M),33.62%,518227,10.65%,164215
West Bengal[56],12,Krishnanagar,GEN,Mahua Moitra,AITC,44.10%,628789,Amrita Roy,BJP,40.13%,572084,3.97%,56705
West Bengal[56],13,Ranaghat,(SC),Jagannath Sarkar,BJP,50.78%,782396,Mukut Mani Adhikari,AITC,38.65%,595497,12.13%,186899
West Bengal[56],14,Bangaon,(SC),Shantanu Thakur,BJP,48.19%,719505,Biswajit Das,AITC,43.25%,645812,4.94%,73693
West Bengal[56],15,Barrackpur,GEN,Partha Bhowmick,AITC,45.56%,520231,Arjun Singh,BJP,39.92%,455793,5.64%,64438
West Bengal[56],16,Dum Dum,GEN,Sougata Ray,AITC,41.95%,528579,Silbhadra Datta,BJP,36.34%,457919,5.61%,70660
West Bengal[56],17,Barasat,GEN,Kakoli Ghosh Dastidar,AITC,45.15%,692010,Swapan Majumder,BJP,37.70%,577821,7.45%,114189
West Bengal[56],18,Basirhat,GEN,Sk Nurul Islam,AITC,52.76%,803762,Rekha Patra,BJP,30.87%,470215,21.89%,333547
West Bengal[56],19,Joynagar,(SC),Pratima Mondal,AITC,60.32%,894312,Ashok Kandary,BJP,28.60%,424093,31.72%,470219
West Bengal[56],20,Mathurapur,(SC),Bapi Haldar,AITC,50.52%,755731,Ashok Purkait,BJP,37.08%,554674,13.44%,201057
West Bengal[56],21,Diamond Harbour,GEN,Abhishek Banerjee,AITC,68.48%,1048230,Abhijit Das (Bobby),BJP,22.03%,337300,46.45%,710930
West Bengal[56],22,Jadavpur,GEN,Sayani Ghosh,AITC,45.83%,717899,Dr. Anirban Ganguly,BJP,29.35%,459698,16.48%,258201
West Bengal[56],23,Kolkata Dakshin,GEN,Mala Roy,AITC,49.48%,615274,Debasree Chaudhuri,BJP,34.42%,428043,15.06%,187231
West Bengal[56],24,Kolkata Uttar,GEN,Sudip Bandyopadhyay,AITC,47.44%,454696,Tapas Roy,BJP,37.78%,362136,9.66%,92560
West Bengal[56],25,Howrah,GEN,Prasun Banerjee,AITC,49.26%,626493,Rathin Chakravarty,BJP,35.94%,457051,13.32%,169442
West Bengal[56],26,Uluberia,GEN,Sajda Ahmed,AITC,52.10%,724622,Arunuday Paulchowdhury,BJP,36.38%,505949,15.72%,218673
West Bengal[56],27,Serampore,GEN,Kalyan Banerjee,AITC,45.65%,673970,Kabir Shankar Bose,BJP,33.80%,499140,11.85%,174830
West Bengal[56],28,Hooghly,GEN,Rachna Banerjee,AITC,46.31%,702744,Locket Chatterjee,BJP,41.24%,625891,5.07%,76853
West Bengal[56],29,Arambagh,(SC),Mitali Bag,AITC,45.71%,712587,Arup Kanti Digar,BJP,45.30%,706188,0.41%,6399
West Bengal[56],30,Tamluk,GEN,Abhijit Gangopadhyay,BJP,48.54%,765584,Debangshu Bhattacharya,AITC,43.61%,687851,4.93%,77733
West Bengal[56],31,Kanthi,GEN,Soumendu Adhikari,BJP,49.85%,763195,Uttam Barik,AITC,46.73%,715431,3.12%,47764
West Bengal[56],32,Ghatal,GEN,Deepak Adhikari (Dev),AITC,52.36%,837990,Hiranmoy Chattopadhyaya,BJP,40.93%,655122,11.43%,182868
West Bengal[56],33,Jhargram,(ST),Kalipada Saren,AITC,49.87%,743478,Dr. Pranat Tudu,BJP,38.20%,569430,11.67%,174048
West Bengal[56],34,Medinipur,GEN,June Maliah,AITC,47.40%,702192,Agnimitra Paul,BJP,45.56%,675001,1.84%,27191
West Bengal[56],35,Purulia,GEN,Jyotirmay Singh Mahato,BJP,40.34%,578489,Shantiram Mahato,AITC,39.15%,561410,1.19%,17079
West Bengal[56],36,Bankura,GEN,Arup Chakraborty,AITC,44.33%,641813,Subhas Sarkar,BJP,42.07%,609035,2.26%,32778
West Bengal[56],37,Bishnupur,(SC),Saumitra Khan,BJP,44.93%,680130,Sujata Mondal,AITC,44.56%,674563,0.37%,5567
West Bengal[56],38,Bardhaman Purba,(SC),Sharmila Sarkar,AITC,48.11%,720302,Asim Kumar Sarkar,BJP,37.38%,559730,10.73%,160572
West Bengal[56],39,Bardhaman-Durgapur,GEN,Kirti Azad Jha,AITC,47.99%,720667,Dilip Ghosh,BJP,38.80%,582686,9.19%,137981
West Bengal[56],40,Asansol,GEN,Shatrughan Prasad Sinha,AITC,46.53%,605645,Surendrajeet Singh Ahluwalia,BJP,41.96%,546081,4.57%,59564
West Bengal[56],41,Bolpur,(SC),Asit Kumar Mal,AITC,55.98%,855633,Piya Saha,BJP,34.57%,528380,21.41%,327253
West Bengal[56],42,Birbhum,GEN,Satabdi Roy,AITC,47%,717961,Debtanu Bhattacharya,BJP,34.06%,520311,12.94%,197650
